musicid,name,genre
1,Perfect ED Sheeran,Romantic
2,At Last Etta James,Romantic
3,Infinity James Young,Romantic
4,Dusk Till Dawn ZYAN Sia,Romantic
5,Silence Marshmello Khalid,Romantic
6,Love nwantiti Ckay DJ Yo,Romantic
7,I Like Me Better Lauv,Romantic
8,Memories Maroon5,Romantic
9,Falling Harry Styles,Romantic
10,In The Name of Love Martin Garrix,Romantic
11,Its You Ali Gate,Heartbroken
12,Let Me Down Slowly Alec Benjamin,Heartbroken
13,Danching With The Ghost Sahsha Alex Solan,Heartbroken
14,Same Old Love Selena Gomez,Heartbroken
15,We Dont Talk Anymore Charlie Puth,Heartbroken
16,Without Me Halsey,Heartbroken
17,Back To You Selena Gomez,Heartbroken
18,Let Somebody Go Coldplay,Heartbroken
19,Crying in the Club Camila Cabello,Heartbroken
20,No Tears Left To Cry Ariana Grande,Heartbroken
21,Diamonds Catching Flies,Brain Food
22,Drip!Drip!Drip! Jorge Milliano,Brain Food
23,Parallel 6,Brain Food
24,If You Come Back Luis Miehlich,Brain Food
25,By Your Side Sofia Kourtesis,Brain Food
26,Blueberry  Direct,Brain Food
27,Embrace ALIGN,Brain Food
28,Before Alex Lusting,Brain Food
29,Let You Autumn Glow,Brain Food
30,Memories Anki,Brain Food
31,Man on The Moon Alan Walker,Dance
32,In The Yuma Chris Lake,Dance
33,Love is Gone Salander,Dance
34,Rumble Skrillex,Dance
35,Strong Romy,Dance
36,Iam Good Blue Davin Guetta,Dance
37,New Gold Gorillaz,Dance
38,Savage Tiesto,Dance
39,Weekend On a Tuesday R3HAB,Dance
40,Promises Diplo,Dance
41,Run BTS,K Pop
42,GOT MY NUMBER Monsta X,K Pop
43,BTBT feat DeVita BI,K Pop
44,Going Dumb Alesso,K Pop
45,Hype Boy NewJeans,K Pop
46,Butter BTS,K Pop
47,WANNABE ITZY,K Pop
48,Permission To Dance BTS,K Pop
49,Pretty Savage BLACKPINK,K Pop
50,LOCO ITZY,K Pop
51,Rap God Eminem,K Pop
52,Godzilla Juice World,Rap
53,Sweaters Ivan B,Rap
54,goosebumps Travis Scott,Rap
55,Sunflower Post Malone,Rap
56,Luxuria Xama,Rap
57,Coco 24kGoldn,Rap
58,Higher Eminem,Rap
59,The Search NF,Rap
60,Macarena Damso,Rap
61,Barney's The Groove Trio,Jazz
62,Muddy Trail The Three Queens,Jazz
63,All My Tommorows Figgy Mood,Jazz
64,Without A Song Meadow Park,Jazz
65,Fools Rush In The Suthern Belle,Jazz
66,Prelude To A Kiss Al Flower Trio,Jazz
67,Home Town Cole Peers,Jazz
68,The Next Day South North,Jazz
69,Beautiful Sunrise Arta Porting,Jazz
70,Leaf Line The levon Trio,Jazz
71,Dawns Zach Bryan,Folk and Acoustic
72,Evergreen Richy Mitch,Folk and Acoustic
73,Jersey Giant Josiah,Folk and Acoustic
74,Russell County Line 49Wnichester,Folk and Acoustic
75,ceilings Lizzy McApline,Folk and Acoustic
76,House Song Searows,Folk and Acoustic
77,Evangeline Stephen Sanchez,Folk and Acoustic
78,Bleeding Out Chance Pena,Folk and Acoustic
79,Homesick Noah Kahan,Folk and Acoustic
80,Miserable Man David Kushner,Folk and Acoustic
81,Infinity James Young,Pop 
82,Middle Of the Night Elley Duhe,Pop
83,Levitating Dua Lipa,Pop
84,Falling Trevor Daniel,Pop
85,Stay The kid LAROI,Pop
86,Heat Waves Glass Animals,Pop
87,Watermelon Sugar Harry Styles,Pop
88,Let Me Down Slowly Alec Benjamin,Pop
89,Hate me JUICE WORLD,Pop
90,Alone Alan Walker,Pop
91,Metamorphosis INTERWORLD,Gaming
92,Murder In My Mind Kordhell,Gaming
93,GigaChad Theme g3oxem,Gaming
94,GHOST phonkme,Gaming
95,Shadow ONIMXRU,Gaming
96,Crystals Isolateexe,Gaming
97,DEMONS IN MY SOUL SCXR SOUL,Gaming
98,RAVE Dxrk,Gaming
99,Scopin Kordhell,Gaming
100,NEON BLADE MoonDiety,Gaming
